objectID,clip_scores_score_set_1_masterpiece,clip_scores_score_set_2_quality,clip_scores_score_set_3_influence,clip_scores_mean_value_score,openclip_l14_scores_score_set_1_masterpiece,openclip_l14_scores_score_set_2_quality,openclip_l14_scores_score_set_3_influence,openclip_l14_scores_mean_value_score,openclip_scores_score_set_1_masterpiece,openclip_scores_score_set_2_quality,openclip_scores_score_set_3_influence,openclip_scores_mean_value_score,siglip_scores_score_set_1_masterpiece,siglip_scores_score_set_2_quality,siglip_scores_score_set_3_influence,siglip_scores_mean_value_score,z_clip_scores_mean_value_score,z_openclip_l14_scores_mean_value_score,z_openclip_scores_mean_value_score,z_siglip_scores_mean_value_score,cross_model_mean_raw,cross_model_mean,cross_model_sd,prompt_sd,model_rank_disagreement,risk_score,title,department,classification,culture,medium,artistDisplayName,inferred_gender,century,medium_category
324383,-0.0029767577070742,0.0263422466814517,-0.5157932639122009,-0.1171557380002923,-0.000325289205648,0.0001938843925017,-0.9932935833930968,-0.2497451398157864,-2.729487050601165e-06,0.0006645201938226,-0.0763953104615211,-0.0256088500934197,5.942483901977539,-10.331350326538086,-10.043888092041016,-4.604694366455078,-0.34891337627262065,-1.0064619892336335,0.44945093164517713,-3.033606710657377,-1.2493010235911441,-0.9848827861296136,1.4899111478159306,4.50121773560825,0.34863281345084696,6.339761696875028,Plaque fragment,Ancient West Asian Art,,Assyrian,Ivory,,unknown,8th c. BCE,other
10956,-0.024792157113552,0.0109252706170082,-0.0151653923094272,0.0150631135329604,0.0131633719429373,0.4236063361167907,0.0083319153636693,0.2271864723879844,0.0139937344938516,-0.0454544946551322,-0.0022604714613407,-0.0187642985838465,6.633293151855469,-10.103139877319336,-2.292215347290039,-3.3012123107910156,1.3207114692048425,1.5850286312959418,0.5231153149540114,-1.896094448309632,-0.7694317558634793,0.38319024178629096,1.5851476577873536,3.6816424673382393,0.4220149532860624,5.688805078411655,Gilbert Stuart,The American Wing,,American,Watercolor on ivory,Sarah Goodridge,female,19th c. CE,drawing_paper
477499,-0.0063912621699273,0.0433818027377128,-0.2175742387771606,-0.0355510296067222,-0.0309874732047319,0.0832748785614967,0.0063533764332532,-0.1485755136236548,-0.0003238639328628,0.4519720077514648,-0.0011723688803613,0.101237146242056,6.429620742797852,-9.792625427246094,-0.2132644653320312,-3.631920337677002,0.6815693957516212,-0.4567392813008766,1.814629071100822,-2.1846940759032694,-0.9287024336663308,-0.036308722587925724,1.7062279243930332,3.524763198361681,0.39565880587997776,5.626649928634692,Jaharis Byzantine Lectionary,Medieval Art,Manuscripts and Illuminations,Byzantine,"Tempera, gold, and ink on parchment; leather binding",,unknown,11th c. CE,painting
314524,-0.0001813917624531,0.0006140384357422,-0.7620301246643066,-0.1902672093820001,-0.0084951389580965,0.0035719145089387,-0.9711198210716248,-0.2435468194307759,-4.097268538316712e-05,0.0031264289282262,-0.1607090830802917,-0.0544353492059599,10.815231323242188,-4.001668930053711,0.877899169921875,0.8103370666503906,-1.2721457874815008,-0.9727823405591206,0.1392061658474625,1.6919394749538212,0.08052192215791369,-0.10344562180983441,1.3421244283524385,3.470699656852954,0.39793844458798,5.210762529793372,Cylindrical Vessel,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,Ceramic,,unknown,1th c. CE,other
24318,-0.0003942385956179,0.0017789318226277,-0.6567184329032898,-0.1635654630299541,-0.0003532013797666,0.0008111515198834,-0.9714632630348206,-0.2490564942781929,0.0019841543398797,0.1575505882501602,-0.0348191671073436,0.0032428078120574,10.09934425354004,-1.632671356201172,-2.1297454833984375,1.2497611045837402,-0.9349631648068439,-1.0027201142857831,0.7599664685757993,2.075412518826984,0.21009548877191264,0.2244239270775391,1.4790791625898687,3.1428259069138296,0.4682590167356072,5.090164086239306,Sacrificial Knife,Arms and Armor,Knives,"Indian, Bengal (?) or Nepalese","Steel, brass, wood",,unknown,19th c. CE,other
322611,-0.0445480719208717,0.1826030015945434,-0.0198835488408803,0.0643779640085995,0.0049836565740406,0.4272357225418091,-0.0002152966335415,0.1831049368483945,-4.044879460707307e-06,0.0020733461715281,-0.0006013113888911,-0.213738191370794,6.92071533203125,-7.014496803283691,-1.000223159790039,-1.5629656314849854,1.9434464169851562,1.3455039636784383,-1.5752882916789166,-0.3791752823695005,-0.38230523049969634,0.3336217016537944,1.6090844425086384,2.989279073282996,0.4263799443224582,5.024743460114093,Relief panel,Ancient West Asian Art,,Assyrian,Gypsum alabaster,,unknown,9th c. BCE,other
310221,-0.0009110250975936,0.0046003232710063,-0.7539664506912231,-0.1864855429739691,-1.4265257050283251e-05,1.565348384247045e-06,-0.999866545200348,-0.2499893078514219,-5.434815102489665e-05,0.0001985449052881,-0.1082644313573837,-0.0324476002515439,10.02284812927246,-2.2229461669921875,-3.962823867797851,0.48529052734375,-1.2243918997496286,-1.0077887185969034,0.3758489852945937,1.4082804689181494,0.00409201906670377,-0.11201279103344719,1.2368107512154773,3.3351650419614587,0.44098988473804507,5.0129656779149805,Gourd-shaped bottle,The Michael C. Rockefeller Wing,Ceramics-Containers,Topará,"Ceramic, slip",Topará artist(s),unknown,2th c. BCE,other
24007,-0.0165900588035583,0.1253543347120285,-0.1676962375640869,0.0149176698178052,-0.0021559768356382,0.0113086011260747,-0.1576441973447799,-0.2376318007009104,6.651604280705214e-07,4.0340808482142165e-05,-0.0062792696990072,-0.004970397259143,8.003487586975098,-6.181946754455566,-6.242218971252441,-1.5316877365112305,1.3188748442634999,-0.9406420605557185,0.6715719717687041,-0.35187993993001804,-0.43984306616336966,0.1744812038866168,1.0128000764002645,3.5613704289087442,0.35617564004735697,4.930346145356365,Cuirass (<i>Char-aina</i>),Arms and Armor,Armor Parts-Cuirasses,"Persian, Safavid","Steel, iron, gold, leather, textile (wool)",,unknown,17th c. CE,other
326395,-0.0019353878451511,0.0123891308903694,-0.3146852850914001,-0.0735994188289623,-0.002316331025213,0.1041630282998085,-0.0886044204235076,-0.1410377094289288,0.0001495221222285,0.1672565042972564,-0.0617388561367988,0.00119939356955,1.4007720947265625,-9.415194511413574,-2.979572296142578,-4.545351266860962,0.20110435435113497,-0.4157813150638328,0.7379742533359461,-2.981819650620221,-1.1896972503873258,-0.6146305894992432,1.6470264564272683,2.8479788274365427,0.36839028227648457,4.863395566140296,Tetradrachm of Alexander the Great,Ancient West Asian Art,,Seleucid,Silver,,unknown,4th c. BCE,other
320054,-0.0086181843653321,0.0431456975638866,-0.1882216334342956,-0.0291897675488144,-0.004970968235284,0.05338916182518,-0.4017561078071594,-0.1934308261843398,1.4890389138599858e-05,0.0076439464464783,-0.0574318207800388,-0.143839375713469,4.55421257019043,-8.403862953186035,-5.1457014083862305,-4.004607677459717,0.7618977381726324,-0.7004684005446493,-0.8230033330204916,-2.5099278734706805,-1.092766911726585,-0.8178754672157973,1.338224624927645,3.168672924779528,0.3112359550561798,4.8181335047633524,Miniature tabard,The Michael C. Rockefeller Wing,Textiles-Woven,Inca and Spanish,"Cotton, camelid hair, silk, metal",,unknown,16th c. CE,other
