department,n,mean_score,model_sd,prompt_sd,risk
Arms and Armor,12,-0.2075551248030988,0.8775864519668312,2.470959417455393,3.6303655390791416
Asian Art,56,0.30728231209717277,0.8693864318206636,2.1122952810988456,3.231902393168834
The Michael C. Rockefeller Wing,77,-0.3407788072407023,0.7994406878693601,2.163708784530855,3.223865138366061
Ancient West Asian Art,140,-0.22405583789066238,0.7595884690122668,2.1333423791098864,3.1335408250019756
The American Wing,32,0.11011479783735068,1.1094838572439605,1.7177065749954512,3.119823959386285
Medieval Art,71,0.14322185982859936,0.9629963943527342,1.854248006210346,3.077048775301227
Musical Instruments,9,-0.09883124546078909,0.7768744764642619,1.9593781633920184,3.0320111583258633
Robert Lehman Collection,46,0.653500840909766,1.0401991233082217,1.2472390554825117,2.587010364386871
Photographs,2,0.013327215547208338,0.718266543466356,1.2481169479763616,2.211256508438055
