specification,n,male_inferred_coefficient,male_inferred_p_value,r_squared
primary,61,-0.8406497265740547,0.16891789110256772,0.22580805652764857
exclude_sculpture,61,-0.8406497265740547,0.16891789110256772,0.22580805652764857
pool_sculpture_with_other,61,-0.8406497265740547,0.16891789110256772,0.22580805652764857
