score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p,permutation_p_10000
score_set_1_masterpiece,39,22,0.08069108185620093,0.014635490093543136,0.06633175182068397,0.015305266566972661,0.1276524403687181,724.0,9.725029583908278e-06,-0.6876456876456876,0.8176643465710491,0.040090924489556305,3.890011833563311e-05,0.05849415058494151
score_set_2_quality,39,22,0.025181636800064158,0.10131753892330214,-0.0761046564155424,-0.19235270908058436,0.02171690350192303,398.0,0.6468876599806954,0.07226107226107226,0.5979966356763944,0.0620257714871973,1.0,0.17688231176882313
score_set_3_influence,39,22,-0.01704759834049186,-0.08053264423506334,0.06378905954469469,-0.00781328910258235,0.1511158262228164,634.0,0.0021301680781738433,-0.4778554778554778,0.7166792796066505,0.03900723886256996,0.008520672312695373,0.059694030596940305
mean_value_score,39,22,-0.07317471394667453,-0.030743968378073108,-0.04239872517571025,-0.10918737302632665,0.020584149706148375,327.0,0.12739284005486373,0.23776223776223782,0.5572743278187415,0.03753373163433926,0.5095713602194549,0.21677832216778323
