objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
322361,Ancient West Asian Art,Drachm,,unknown,2th c. CE,other,600,600,1.0,-0.0009680278017185628,0.00461962353438139,-0.2839198112487793,0.004061477724462748,-0.06905168444791343
322612,Ancient West Asian Art,Relief fragment: Assyrian soldier conducting captives across the water,,unknown,7th c. BCE,other,574,625,0.92,-0.017787588760256767,0.15078237652778625,-0.15115715563297272,0.1420765519142151,0.030978546012192965
322362,Ancient West Asian Art,Tetradrachm,,unknown,3th c. CE,other,600,600,1.0,-0.0030716562177985907,0.019928157329559326,-0.11187535524368286,0.019412323832511902,-0.018901632574852556
322620,Ancient West Asian Art,Assyrian Crown-Prince,,unknown,8th c. BCE,other,410,624,0.66,-0.01863297075033188,0.1852887123823166,-0.14631371200084686,0.16645599901676178,0.04669950716197491
325979,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,-0.005528412293642759,0.0053985570557415485,-0.1428055316209793,-0.0027160453610122204,-0.036412858054973185
701203,The American Wing,Sampler,Ann Magdalen Yates,female,18th c. CE,other,599,527,1.14,-0.004003479611128569,0.023644331842660904,-0.5186563730239868,0.02555857226252556,-0.11836423713248223
324923,Ancient West Asian Art,Chair back carved in relief,,unknown,8th c. BCE,other,598,380,1.57,-0.05404491722583771,0.2225581258535385,-0.0982474833726883,0.17902791500091553,0.06232341006398201
323955,Ancient West Asian Art,Jar with ibexes,,unknown,26th c. BCE,other,500,625,0.8,-0.0018437380203977227,0.03176736831665039,-0.5181074738502502,0.031370073556900024,-0.11420344249927439
325978,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,-0.005218212492763996,0.008474853821098804,-0.09240716695785522,0.004780509974807501,-0.02109250391367823
325567,Ancient West Asian Art,Furniture plaque carved in relief with a female figure,,unknown,9th c. BCE,other,479,624,0.77,-0.007162188179790974,0.06488052010536194,-0.42514240741729736,0.05738624557852745,-0.07750945747829974
327315,Ancient West Asian Art,Miniature vessel,,unknown,16th c. BCE,other,571,625,0.91,-6.226319965207949e-05,0.0003968756354879588,-0.752320408821106,0.00027121181483380497,-0.18792864614260907
326387,Ancient West Asian Art,Bulla,,unknown,6th c. BCE,other,599,449,1.33,-0.0021569535601884127,0.005447325296700001,-0.08950341492891312,0.004928747657686472,-0.020321073883678764
322143,Ancient West Asian Art,Relief fragment,,unknown,10th c. BCE,other,468,624,0.75,-0.003926210571080446,0.021766401827335358,-0.22321806848049164,0.018858375027775764,-0.04662987554911524
