score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,excluded_department,permutation_p_10000
mean_value_score,37,22,-0.022423879692576372,-0.09891718932728756,0.07673849978501011,0.03682367832497103,0.115954073177362,624.0,0.0006898027987983115,-0.5331695331695332,0.994921420588099,0.021569095090570842,Arms and Armor,0.00039996000399960006
mean_value_score,38,22,-0.02357509507917137,-0.09891718932728756,0.0755728285619568,0.037680184441939074,0.11331646287996001,639.0,0.0007184281273223598,-0.5287081339712918,0.994464680945352,0.02142741766006266,Asian Art,0.0004999500049995
mean_value_score,37,22,-0.021400611931804214,-0.09891718932728756,0.07770823932321581,0.03832809202102522,0.11613717030560833,629.0,0.0005166454226890501,-0.5454545454545454,0.9965111508917466,0.020669841109338893,Medieval Art,0.00019998000199980003
mean_value_score,37,22,-0.020870511654474948,-0.09891718932728756,0.0781852339891875,0.03845011054285485,0.11681878503684327,628.0,0.0005476461239987797,-0.5429975429975431,0.9960836393248225,0.02133004179574747,Musical Instruments,0.00019998000199980003
mean_value_score,17,18,-0.06017461102943772,-0.123437000940511,0.06336494076858787,0.018951868744579024,0.10747065983235547,229.0,0.012707206671081281,-0.49673202614379086,0.9604988968561267,0.02073640318847476,Robert Lehman Collection,0.010798920107989201
mean_value_score,30,14,-0.013621137141550813,-0.09638216361560938,0.08309024101096124,0.0366595027088622,0.1270635741724698,328.0,0.0030691913133397432,-0.5619047619047619,0.9901603865180048,0.01999708238388482,The American Wing,0.0008999100089991
mean_value_score,38,12,-0.020724982161099387,-0.06509500190441031,0.04479474051558048,-0.004420907608737089,0.09700749252175356,301.0,0.0995833646655497,-0.3201754385964912,0.8026447901936423,0.020793612295026312,The Michael C. Rockefeller Wing,0.05749425057494251
