score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p,permutation_p_10000
score_set_1_masterpiece,39,22,1.9317330825023162,3.2637263644825327,-1.3377610084633729,-2.358662593698168,-0.31014943648051574,274.0,0.020314409249506678,0.3613053613053613,0.8975612980226061,0.6448737524527912,0.08125763699802671,0.0221977802219778
score_set_2_quality,39,22,-3.158324217184996,-3.8052581440318716,0.6509882427002167,-0.6503331443924449,2.0088227858354433,463.0,0.6148600660693402,-0.07925407925407923,0.4413832548212737,0.7454518937070196,1.0,0.33866613338666135
score_set_3_influence,39,22,-0.8631921914907602,-0.7670223929665305,-0.0942915319313814,-0.924207321330384,0.7687764235309785,384.0,0.5039031395630715,0.1048951048951049,0.16520327653072664,0.5275930126989483,1.0,0.8421157884211579
mean_value_score,39,22,-1.2096425814506335,-0.8643534942106768,-0.34570902017746774,-0.8539785052096093,0.18624223394271633,329.0,0.13506448959244083,0.2331002331002331,0.5754338123915549,0.2950584214073871,0.5402579583697633,0.1994800519948005
