score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,excluded_department,permutation_p_10000
mean_value_score,37,22,-0.06929010629811101,-0.030743968378073108,-0.03873281655156051,-0.10726655209881401,0.02475832094694789,319.0,0.17020435127062672,0.21621621621621623,0.508482236121088,0.03781401407890351,Arms and Armor,0.2612738726127387
mean_value_score,38,22,-0.07474427079859867,-0.030743968378073108,-0.0441435157669766,-0.10833736906007758,0.019018325889228246,310.0,0.09913956411653146,0.2583732057416268,0.5720159458162384,0.03778101530681229,Asian Art,0.19738026197380262
mean_value_score,37,22,-0.07449981133849842,-0.030743968378073108,-0.0431564906430032,-0.11103492166019127,0.020239040320776905,307.0,0.11884369517450952,0.24570024570024573,0.5642578317681479,0.0381560621604494,Medieval Art,0.20377962203779623
mean_value_score,37,22,-0.07324363017456513,-0.030743968378073108,-0.041858263320432076,-0.10886300758982068,0.021644357115443942,306.0,0.11518254089574245,0.24815724815724816,0.5520068186621645,0.03798618441554385,Musical Instruments,0.21577842215778423
mean_value_score,17,18,-0.05091093253248105,-0.019401551195223812,-0.032010041902553535,-0.11950021183933238,0.053363421165463644,136.0,0.5860416230076372,0.11111111111111116,0.42706900410189497,0.039830459547832237,Robert Lehman Collection,0.4814518548145185
mean_value_score,30,14,-0.08458172744232494,-0.06534871750621919,-0.020036771611350934,-0.06791481425973055,0.03269250824035286,165.0,0.26216248197760095,0.2142857142857143,0.3647315556369749,0.028347722146756862,The American Wing,0.5315468453154685
mean_value_score,38,12,-0.07498478494315015,-0.007385386836176622,-0.06737259493702243,-0.1733149179490687,0.02683105132287939,168.0,0.17651138273526135,0.26315789473684215,0.6911467794258717,0.04071875902385206,The Michael C. Rockefeller Wing,0.13308669133086692
