objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
322361,Ancient West Asian Art,Drachm,,unknown,2th c. CE,other,600,600,1.0,-5.636018977384083e-05,0.013897604309022427,-0.31604963541030884,-0.1862533688545227,-0.12211544003639574
322612,Ancient West Asian Art,Relief fragment: Assyrian soldier conducting captives across the water,,unknown,7th c. BCE,other,574,625,0.92,0.0019307383336126804,0.03613599017262459,-0.029032306745648384,-0.5465952157974243,-0.13439019850920886
322362,Ancient West Asian Art,Tetradrachm,,unknown,3th c. CE,other,600,600,1.0,-2.601753658382222e-05,0.033674247562885284,-0.07436046749353409,-0.4073101580142975,-0.11200559887038253
322620,Ancient West Asian Art,Assyrian Crown-Prince,,unknown,8th c. BCE,other,410,624,0.66,-0.0007827267982065678,0.0033856260124593973,-0.0006928217480890453,-0.8770938515663147,-0.21879594352503773
325979,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,3.996279701823369e-05,0.025555260479450226,-0.24512635171413422,-0.09288813918828964,-0.07810481690648885
701203,The American Wing,Sampler,Ann Magdalen Yates,female,18th c. CE,other,599,527,1.14,0.0027737580239772797,0.08360885828733444,-0.3773678243160248,-0.06408031284809113,-0.08876638021320105
324923,Ancient West Asian Art,Chair back carved in relief,,unknown,8th c. BCE,other,598,380,1.57,-6.0193968238309026e-05,0.03653395175933838,-0.0022898688912391663,-0.8487170934677124,-0.20363330114196287
323955,Ancient West Asian Art,Jar with ibexes,,unknown,26th c. BCE,other,500,625,0.8,-0.00010378815932199359,0.009122272953391075,-0.07348085194826126,-0.04546471685171127,-0.027481771001475863
325978,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,-0.00015582615742459893,0.015023833140730858,-0.16612909734249115,-0.26738113164901733,-0.10466055550205056
325567,Ancient West Asian Art,Furniture plaque carved in relief with a female figure,,unknown,9th c. BCE,other,479,624,0.77,-0.0009822658030316234,0.005026319995522499,-0.03512758016586304,-0.1747381091117859,-0.05145540877128951
327315,Ancient West Asian Art,Miniature vessel,,unknown,16th c. BCE,other,571,625,0.91,-8.22487891127821e-06,0.0004680928832385689,-0.049931976944208145,-0.0051995813846588135,-0.013667922581134917
326387,Ancient West Asian Art,Bulla,,unknown,6th c. BCE,other,599,449,1.33,-2.472430423949845e-05,0.0010717588011175394,-0.030339974910020828,-0.08280224353075027,-0.028023795985973265
322143,Ancient West Asian Art,Relief fragment,,unknown,10th c. BCE,other,468,624,0.75,-0.00489749014377594,0.007047151681035757,-0.005334063898772001,-0.24407324194908142,-0.0618144110776484
328096,Ancient West Asian Art,Drachm,,unknown,1th c. CE,other,600,449,1.34,-1.0512811059015803e-05,0.012754436582326889,-0.06973213702440262,-0.2680359482765198,-0.08125604038241363
324331,Ancient West Asian Art,Furniture or cosmetic box plaque carved in the round with striding bull,,unknown,8th c. BCE,painting,599,471,1.27,-8.876979700289667e-05,4.8149380745599046e-05,-0.062253694981336594,-0.02399565652012825,-0.021572492979430535
325082,Ancient West Asian Art,Horse blinker carved in relief with a wedjat eye,,unknown,8th c. BCE,other,599,513,1.17,-4.755179907078855e-05,0.0027639949694275856,-0.07393186539411545,-0.11005371809005737,-0.045317285078454006
322360,Ancient West Asian Art,Drachm,,unknown,2th c. CE,other,600,600,1.0,-1.7578813640284352e-05,0.0025857225991785526,-0.9280331134796143,-0.02345684915781021,-0.23723045471297155
324203,Ancient West Asian Art,Reclining calf: lid attachment,,unknown,9th c. BCE,other,600,516,1.16,-2.0807301552849822e-05,0.00011403224925743416,-0.050466056913137436,-0.032503653317689896,-0.020719121320780687
322355,Ancient West Asian Art,Drachm,,unknown,1th c. BCE,other,600,600,1.0,-0.0002232739789178595,0.012772267684340477,-0.2440754473209381,-0.07924836128950119,-0.07769370372625417
764095,The American Wing,"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,unknown,18th c. CE,painting,470,624,0.75,0.05621803179383278,0.136489138007164,0.07270689308643341,-0.40158921480178833,-0.034043787978589535
