specification,n,male_inferred_coefficient,male_inferred_p_value,r_squared
primary,61,-0.07087507987302412,0.1821277074619133,0.28325172702618306
exclude_sculpture,61,-0.07087507987302412,0.1821277074619133,0.28325172702618306
pool_sculpture_with_other,61,-0.07087507987302412,0.1821277074619133,0.28325172702618306
