objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
322361,Ancient West Asian Art,Drachm,,unknown,2th c. CE,other,600,600,1.0,0.86163330078125,-6.813742637634277,-3.7263259887695312,-3.2887649536132812,-3.24180006980896
322612,Ancient West Asian Art,Relief fragment: Assyrian soldier conducting captives across the water,,unknown,7th c. BCE,other,574,625,0.92,4.671365737915039,-2.546053886413574,0.1257781982421875,-1.191950798034668,0.2647848129272461
322362,Ancient West Asian Art,Tetradrachm,,unknown,3th c. CE,other,600,600,1.0,0.12152671813964844,-6.158106803894043,-4.341642379760742,-2.9308128356933594,-3.327258825302124
322620,Ancient West Asian Art,Assyrian Crown-Prince,,unknown,8th c. BCE,other,410,624,0.66,4.452304840087891,-5.948387145996094,0.6178989410400391,-2.777996063232422,-0.9140448570251465
325979,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,1.1426677703857422,-6.166501998901367,-3.5927486419677734,-3.137688636779785,-2.938567876815796
701203,The American Wing,Sampler,Ann Magdalen Yates,female,18th c. CE,other,599,527,1.14,2.8955554962158203,-3.0238037109375,2.4158859252929688,-4.449714660644531,-0.5405192375183105
324923,Ancient West Asian Art,Chair back carved in relief,,unknown,8th c. BCE,other,598,380,1.57,5.178586959838867,-6.5631208419799805,-1.6354246139526367,-2.434701919555664,-1.3636651039123535
323955,Ancient West Asian Art,Jar with ibexes,,unknown,26th c. BCE,other,500,625,0.8,3.271068572998047,-2.7591381072998047,1.1571159362792969,-2.944517135620117,-0.31886768341064453
325978,Ancient West Asian Art,Drachm,,unknown,2th c. BCE,other,600,600,1.0,0.5983333587646484,-3.9749011993408203,-1.0566139221191406,-1.6966094970703125,-1.5324478149414062
325567,Ancient West Asian Art,Furniture plaque carved in relief with a female figure,,unknown,9th c. BCE,other,479,624,0.77,3.69940185546875,-6.191882133483887,-2.6823768615722656,-2.76705265045166,-1.9854774475097656
327315,Ancient West Asian Art,Miniature vessel,,unknown,16th c. BCE,other,571,625,0.91,5.302726745605469,-3.1936168670654297,0.5003890991210938,-2.808656692504883,-0.0497894287109375
326387,Ancient West Asian Art,Bulla,,unknown,6th c. BCE,other,599,449,1.33,5.843581199645996,-4.703561782836914,-2.779491424560547,-2.429203987121582,-1.0171689987182617
322143,Ancient West Asian Art,Relief fragment,,unknown,10th c. BCE,other,468,624,0.75,4.930505752563477,-2.8612852096557617,-0.6124610900878906,-2.850722312927246,-0.34849071502685547
328096,Ancient West Asian Art,Drachm,,unknown,1th c. CE,other,600,449,1.34,-0.478790283203125,-5.596190452575684,-2.8379058837890625,-1.6711959838867188,-2.6460206508636475
324331,Ancient West Asian Art,Furniture or cosmetic box plaque carved in the round with striding bull,,unknown,8th c. BCE,painting,599,471,1.27,1.8675918579101562,-5.419258117675781,-3.8202552795410156,-2.626262664794922,-2.4995460510253906
325082,Ancient West Asian Art,Horse blinker carved in relief with a wedjat eye,,unknown,8th c. BCE,other,599,513,1.17,7.917198181152344,-6.953105926513672,-3.790376663208008,-4.508686065673828,-1.833742618560791
322360,Ancient West Asian Art,Drachm,,unknown,2th c. CE,other,600,600,1.0,1.204294204711914,-7.1402997970581055,-4.177711486816406,-2.518125534057617,-3.1579606533050537
324203,Ancient West Asian Art,Reclining calf: lid attachment,,unknown,9th c. BCE,other,600,516,1.16,4.0805206298828125,-1.9399490356445312,-1.1127147674560547,-0.4747962951660156,0.13826513290405273
322355,Ancient West Asian Art,Drachm,,unknown,1th c. BCE,other,600,600,1.0,-0.12018013000488281,-4.452727317810059,-2.9441375732421875,-1.9131202697753906,-2.35754132270813
