score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,excluded_department,permutation_p_10000
mean_value_score,37,22,-1.1817023947432235,-0.8643534942106768,-0.3186720807296931,-0.8206838860705092,0.21343959952162264,319.0,0.17020435127062672,0.21621621621621623,0.5277067115873199,0.2986900075576013,Arms and Armor,0.23747625237476253
mean_value_score,38,22,-1.2490144277873791,-0.8643534942106768,-0.3854283274199974,-0.8762123211576607,0.12395274101547071,310.0,0.09913956411653146,0.2583732057416268,0.6380348066772622,0.29154022827421666,Asian Art,0.15158484151584842
mean_value_score,37,22,-1.176757574081421,-0.8643534942106768,-0.3127355113495772,-0.813081576907664,0.20983547837786903,320.0,0.17513968851752093,0.2137592137592138,0.5253675752081837,0.2954320932248049,Medieval Art,0.23867613238676133
mean_value_score,37,22,-1.2279691245104816,-0.8643534942106768,-0.3648102119512581,-0.8672931275218358,0.1586450217616643,307.0,0.11884369517450952,0.24570024570024573,0.6054439567340765,0.2926395954347728,Musical Instruments,0.16868313168683133
mean_value_score,17,18,-1.5560757412629969,-0.8310965961880155,-0.7172448672969356,-1.3911492185849768,-0.006973444149385252,93.0,0.04955414548944343,0.3921568627450981,0.8621644835813993,0.3214344935769488,Robert Lehman Collection,0.0527947205279472
mean_value_score,30,14,-1.075747283299764,-1.0091291495731898,-0.07221354936667851,-0.6209868666103907,0.46983825490588144,206.0,0.9297243058129796,0.01904761904761909,0.24226467158969722,0.26726433140214007,The American Wing,0.8081191880811919
mean_value_score,38,12,-1.1623745592016923,-0.7453339099884033,-0.4179496074120203,-1.07327901582446,0.26688169426562397,157.0,0.10927822708383358,0.3114035087719298,0.628905876693304,0.29728813738661475,The Michael C. Rockefeller Wing,0.21777822217778223
