score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p,permutation_p_10000
score_set_1_masterpiece,39,22,0.12543590984662445,-0.0285677683185151,0.15402570084462458,0.08499345633028714,0.23184443670766114,709.0,2.693916768923811e-05,-0.6526806526806528,0.9942116438477935,0.05421546990373686,0.00010775667075695244,0.000999900009999
score_set_2_quality,39,22,0.25131619251064524,0.20450459904333745,0.04721612798756456,-0.0446391998240488,0.13792828895824394,502.0,0.27619672221682623,-0.17016317016317006,0.4471602382174267,0.053110750277721844,1.0,0.33226677332266774
score_set_3_influence,39,22,-0.028699360419219982,-0.36766584657809953,0.3399666150303181,0.18006303343501423,0.5062097814112339,686.0,0.00011693553401909826,-0.5990675990675991,0.9973477296590418,0.08285113962123408,0.00046774213607639304,9.999000099990002e-05
mean_value_score,39,22,0.12480147558511444,-0.023437716006645296,0.14866079909410776,0.05816350457546033,0.23360081614503864,622.0,0.003837434551078779,-0.44988344988344986,0.9840013019928219,0.04757594888212884,0.015349738204315117,0.0015998400159984002
