score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p,permutation_p_10000
score_set_1_masterpiece,39,22,-0.006029694980661122,-0.003626875909751768,-0.002337904860592188,-0.008656015240554375,0.0032245381114413196,418.0,0.8746906995299376,0.02564102564102566,0.27395750683241826,0.004284507024282642,1.0,0.5821417858214178
score_set_2_quality,39,22,0.03866821037939726,0.029053671925794333,0.00970105601529062,-0.013465258041974062,0.03413737940903286,381.0,0.4755864456406128,0.11188811188811187,0.27666023987572164,0.017091933348000656,1.0,0.5401459854014599
score_set_3_influence,39,22,-0.1595365094365731,-0.4475623573261229,0.2892461760341107,0.1418385882074447,0.4326377390408652,657.0,0.0006333805265593682,-0.5314685314685315,0.996209900103014,0.07722605181439884,0.0025335221062374727,0.00029997000299970003
mean_value_score,39,22,-0.023541540846986793,-0.09891718932728756,0.07573397097284035,0.03586427526580334,0.11469024663302363,656.0,0.0006692334387809119,-0.5291375291375291,0.9948324489520929,0.021245113244812444,0.0026769337551236475,0.0004999500049995
