century,female,male
15th c. CE,24.0,76.0
16th c. CE,24.242424242424242,75.75757575757575
17th c. CE,29.651162790697676,70.34883720930233
18th c. CE,33.68421052631579,66.3157894736842
19th c. CE,29.351535836177472,70.64846416382252
20th c. CE,25.71428571428571,74.28571428571429
