nationality,pct_of_named_works
French,34.35374149659864
American,10.657596371882086
Dutch,9.977324263038549
British,9.863945578231291
German,8.616780045351474
Flemish,8.503401360544217
Netherlandish,7.709750566893423
Spanish,5.782312925170068
Italian,3.8548752834467117
Swiss,0.6802721088435374
