score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p
score_set_1_masterpiece,39,21,0.08069107946101166,0.01466604980708737,0.06660768198075714,0.015779394584478218,0.12788603668827664,705.0,4.831018906639697e-06,-0.7216117216117217,0.8122294611235596,0.04043505001323534,1.9324075626558787e-05
score_set_2_quality,39,21,0.02518163611798977,0.10830668306759132,-0.08370718180041997,-0.20386641805833297,0.01963570395407708,365.0,0.495286556340656,0.10866910866910862,0.6395730265543971,0.06227767051068579,1.0
score_set_3_influence,39,21,-0.017047598309522398,-0.08425988872269434,0.06753522109968038,-0.007669191004026867,0.15941273151110552,606.0,0.0023841912347760987,-0.4798534798534799,0.7353771608739305,0.039215292474719866,0.009536764939104395
mean_value_score,39,21,0.02960837242315967,0.012904281383994779,0.01681190709333918,-0.03589538865177092,0.06828358076788356,522.0,0.0825977242838097,-0.27472527472527464,0.3428125471693413,0.02775942131505524,0.3303908971352388
