objectID,source_image_url,image_status,model
307598,https://images.metmuseum.org/CRDImages/ao/web-large/DP-17616-001.jpg,included,OpenCLIP
310513,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25387-001.jpg,included,OpenCLIP
317760,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24306-003.jpg,included,OpenCLIP
316709,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25727-001.jpg,included,OpenCLIP
307602,https://images.metmuseum.org/CRDImages/ao/web-large/book3.jpg,included,OpenCLIP
312581,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23907-001.jpg,included,OpenCLIP
309958,https://images.metmuseum.org/CRDImages/ao/web-large/DP-41709-001.jpg,included,OpenCLIP
310498,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25391-001.jpg,included,OpenCLIP
126673,https://images.metmuseum.org/CRDImages/ao/web-large/DP-27227-001.jpg,included,OpenCLIP
310467,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23470-001.jpg,included,OpenCLIP
929079,https://images.metmuseum.org/CRDImages/as/web-large/DP-44394-002.jpg,included,OpenCLIP
49068,https://images.metmuseum.org/CRDImages/as/web-large/DP276881.jpg,included,OpenCLIP
49179,https://images.metmuseum.org/CRDImages/as/web-large/DP162807.jpg,included,OpenCLIP
39901,https://images.metmuseum.org/CRDImages/as/web-large/DP153705.jpg,included,OpenCLIP
701293,https://images.metmuseum.org/CRDImages/as/web-large/DP-13240-001.jpg,included,OpenCLIP
39931,https://images.metmuseum.org/CRDImages/as/web-large/DP160517.jpg,included,OpenCLIP
45258,https://images.metmuseum.org/CRDImages/as/web-large/DT1607.jpg,included,OpenCLIP
53222,https://images.metmuseum.org/CRDImages/as/web-large/DP361166.jpg,included,OpenCLIP
44918,https://images.metmuseum.org/CRDImages/as/web-large/DT1615.jpg,included,OpenCLIP
73159,https://images.metmuseum.org/CRDImages/as/web-large/DP146997.jpg,included,OpenCLIP
816189,https://images.metmuseum.org/CRDImages/as/web-large/DP-17101-002.jpg,included,OpenCLIP
53408,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-273.jpg,included,OpenCLIP
53449,https://images.metmuseum.org/CRDImages/as/web-large/DP-13180-023.jpg,included,OpenCLIP
36131,https://images.metmuseum.org/CRDImages/as/web-large/1981_4_1a.jpg,included,OpenCLIP
76084,https://images.metmuseum.org/CRDImages/as/web-large/DP-14364-001.jpg,included,OpenCLIP
39668,https://images.metmuseum.org/CRDImages/as/web-large/DP167812_CRD.jpg,included,OpenCLIP
57206,https://images.metmuseum.org/CRDImages/as/web-large/DP205543.jpg,included,OpenCLIP
40080,https://images.metmuseum.org/CRDImages/as/web-large/DP258037.jpg,included,OpenCLIP
53458,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-210.jpg,included,OpenCLIP
888663,https://images.metmuseum.org/CRDImages/as/web-large/DP-24890-002.jpg,included,OpenCLIP
36436,https://images.metmuseum.org/CRDImages/as/web-large/DP162771.jpg,included,OpenCLIP
44634,https://images.metmuseum.org/CRDImages/as/web-large/DP-24853-002.jpg,included,OpenCLIP
49467,https://images.metmuseum.org/CRDImages/as/web-large/DP-30286-002.jpg,included,OpenCLIP
53427,https://images.metmuseum.org/CRDImages/as/web-large/DT372445.jpg,included,OpenCLIP
752005,https://images.metmuseum.org/CRDImages/as/web-large/DP-16218-019.jpg,included,OpenCLIP
59025,https://images.metmuseum.org/CRDImages/as/web-large/2000_665_1.jpg,included,OpenCLIP
860963,https://images.metmuseum.org/CRDImages/as/web-large/DP-24412-002.jpg,included,OpenCLIP
41193,https://images.metmuseum.org/CRDImages/as/web-large/DP154100.jpg,included,OpenCLIP
663886,https://images.metmuseum.org/CRDImages/as/web-large/DP355576.jpg,included,OpenCLIP
49156,https://images.metmuseum.org/CRDImages/as/web-large/DP105303_CRD.jpg,included,OpenCLIP
49177,https://images.metmuseum.org/CRDImages/as/web-large/DP204906_CRD.jpg,included,OpenCLIP
65555,https://images.metmuseum.org/CRDImages/as/web-large/DP164311.jpg,included,OpenCLIP
49456,https://images.metmuseum.org/CRDImages/as/web-large/DP161405.jpg,included,OpenCLIP
49187,https://images.metmuseum.org/CRDImages/as/web-large/DP214271_CRD.jpg,included,OpenCLIP
705076,https://images.metmuseum.org/CRDImages/as/web-large/DP-27349-002.jpg,included,OpenCLIP
49173,https://images.metmuseum.org/CRDImages/as/web-large/DP143725_CRD.jpg,included,OpenCLIP
49241,https://images.metmuseum.org/CRDImages/as/web-large/DP-36017-002.jpg,included,OpenCLIP
57344,https://images.metmuseum.org/CRDImages/as/web-large/DP-27193-001.jpg,included,OpenCLIP
57805,https://images.metmuseum.org/CRDImages/as/web-large/JIB_112_Preface 1_sf.JPG,included,OpenCLIP
41057,https://images.metmuseum.org/CRDImages/as/web-large/DP114890.jpg,included,OpenCLIP
57569,https://images.metmuseum.org/CRDImages/as/web-large/JIB44a_005_crd.jpg,included,OpenCLIP
459028,https://images.metmuseum.org/CRDImages/rl/web-large/DP221485.jpg,included,OpenCLIP
459254,https://images.metmuseum.org/CRDImages/rl/web-large/DT3622.jpg,included,OpenCLIP
459249,https://images.metmuseum.org/CRDImages/rl/web-large/SLP1558-1.jpg,included,OpenCLIP
459027,https://images.metmuseum.org/CRDImages/rl/web-large/DP221483.jpg,included,OpenCLIP
459080,https://images.metmuseum.org/CRDImages/rl/web-large/DP164857.jpg,included,OpenCLIP
458967,https://images.metmuseum.org/CRDImages/rl/web-large/DP319194.jpg,included,OpenCLIP
459061,https://images.metmuseum.org/CRDImages/rl/web-large/DT1472.jpg,included,OpenCLIP
458979,https://images.metmuseum.org/CRDImages/rl/web-large/DT3028.jpg,included,OpenCLIP
459055,https://images.metmuseum.org/CRDImages/rl/web-large/DP-40424-001.jpg,included,OpenCLIP
458971,https://images.metmuseum.org/CRDImages/rl/web-large/DP-40104-001.jpg,included,OpenCLIP
459062,https://images.metmuseum.org/CRDImages/rl/web-large/DT3083.jpg,included,OpenCLIP
459008,https://images.metmuseum.org/CRDImages/rl/web-large/DT3047.jpg,included,OpenCLIP
458972,https://images.metmuseum.org/CRDImages/rl/web-large/DT3023.jpg,included,OpenCLIP
458998,https://images.metmuseum.org/CRDImages/rl/web-large/DP-13487-001.jpg,included,OpenCLIP
458964,https://images.metmuseum.org/CRDImages/rl/web-large/DP-32063-001.jpg,included,OpenCLIP
