score,n_male,n_female,male_mean,female_mean,mean_difference_male_minus_female,ci_low,ci_high,mann_whitney_u,p_value,rank_biserial_r,tost_p_d03,tost_bound,bonferroni_p
score_set_1_masterpiece,39,21,-0.006029695955266316,-0.002619005295855459,-0.0033286148323686915,-0.009618934203758443,0.001888613597002263,382.0,0.6756153564516258,0.06715506715506714,0.39095260971058743,0.004236186318832537,1.0
score_set_2_quality,39,21,0.03866821654045429,0.02991692902010289,0.008878216149830498,-0.014885457933517074,0.034165993137142234,360.0,0.44760364942181463,0.1208791208791209,0.2531731967411933,0.01722314921543181,1.0
score_set_3_influence,39,21,-0.15953650655977142,-0.46815268721963677,0.3103212106077287,0.1703131877223303,0.4464675643122046,644.0,0.0002871780530028342,-0.5726495726495726,0.9982493741157771,0.07591279376547835,0.0011487122120113367
mean_value_score,39,21,-0.042299328658194475,-0.1469515878317964,0.10529027064173017,0.0579359453397004,0.1527163831004414,636.0,0.00046071777692749475,-0.5531135531135531,0.9979541409975826,0.026149002170990948,0.001842871107709979
