objectID,title,department,primaryImage,primaryImageSmall,has_named_creator,inferred_gender,selection_stage
324751,Border strip,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110634.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110634.jpg,False,,unknown_or_unattributed
322973,Plate with king hunting rams,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-42233-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-42233-001.jpg,False,,unknown_or_unattributed
322357,Drachm,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-031.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-031.jpg,False,,unknown_or_unattributed
324747,Plaque fragment,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110630.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110630.jpg,False,,unknown_or_unattributed
323943,Jug in the form of a recumbent bull,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-25538-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-25538-001.jpg,False,,unknown_or_unattributed
328186,Plate with reclining zebu,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP701382.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP701382.jpg,False,,unknown_or_unattributed
324745,Border strip,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110628.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110628.jpg,False,,unknown_or_unattributed
326455,Bulla,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-40307-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40307-001.jpg,False,,unknown_or_unattributed
324749,Border strip,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110632.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110632.jpg,False,,unknown_or_unattributed
324139,Jar with paired birds in panels,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/hb51_25_25.jpg,https://images.metmuseum.org/CRDImages/an/web-large/hb51_25_25.jpg,False,,unknown_or_unattributed
326457,Bulla,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-40309-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-40309-001.jpg,False,,unknown_or_unattributed
325566,"Furniture plaque carved in relief with a striding, ram-headed sphinx supported by two kneeling figures",Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110692.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110692.jpg,False,,unknown_or_unattributed
