nationality,pct_of_named_works
unknown,28.735632183908045
Italian,15.517241379310345
American,14.367816091954023
Chinese,11.494252873563218
Japanese,9.770114942528735
Netherlandish,6.896551724137931
French,4.597701149425287
German,2.8735632183908044
Austrian,1.1494252873563218
Mexican,0.5747126436781609
"American, born Italy",0.5747126436781609
Guatemalan or Mexican,0.5747126436781609
Ethiopian,0.5747126436781609
African,0.5747126436781609
Korean,0.5747126436781609
